Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
AA,BWI -> MIA,203,-15.0,850.0,5.25,0.0049,"1,2,3,4,5,6,7"
AA,BZN -> ORD,122,-20.0,1730.0,30.23,0.0,"1,2,3,4,6,7"
AA,CAE -> DFW,368,-16.0,1178.0,29.93,0.0245,"1,2,3,4,5,6,7"
AA,CHS -> DFW,551,-14.0,1140.0,33.68,0.0309,"1,2,3,4,5,6,7"
AA,CID -> CLT,208,-15.0,1254.0,27.1,0.024,"1,2,3,4,5,6,7"
AA,CID -> DFW,375,-18.0,1471.0,36.25,0.0507,"1,2,3,4,5,6,7"
AA,CID -> ORD,27,-14.0,799.0,66.42,0.037,"6,7"
AA,CID -> PHX,94,-12.0,229.0,18.34,0.0213,"1,2,3,4"
AA,CLE -> ORD,185,-14.0,1647.0,20.32,0.027,"1,2,3,4,5,6,7"
AA,CLT -> AGS,5,-6.0,3.0,-2.0,0.0,4
AA,CLT -> ALB,540,-10.0,507.0,19.89,0.0074,"1,2,3,4,5,6,7"
AA,CLT -> ATL,506,-10.0,586.0,24.91,0.002,"1,2,3,4,5,6,7"
AA,CLT -> AVP,364,-10.0,662.0,32.84,0.0055,"1,2,3,4,5,6,7"
AA,CLT -> BDL,898,-11.0,564.0,20.87,0.0067,"1,2,3,4,5,6,7"
AA,CLT -> BGR,36,-8.0,347.0,26.47,0.0,"6,7"
AA,CLT -> BNA,968,-11.0,1058.0,24.2,0.0186,"1,2,3,4,5,6,7"
AA,CLT -> BOS,1373,-11.0,580.0,21.02,0.0058,"1,2,3,4,5,6,7"
AA,CLT -> BUF,570,-12.0,485.0,19.64,0.0175,"1,2,3,4,5,6,7"
AA,CLT -> BWI,958,-13.0,467.0,19.82,0.0125,"1,2,3,4,5,6,7"
AA,CLT -> CHS,1078,-12.0,644.0,20.93,0.0102,"1,2,3,4,5,6,7"
AA,CLT -> CMH,713,-11.0,449.0,25.5,0.0098,"1,2,3,4,5,6,7"
AA,CLT -> DCA,1261,-15.0,982.0,24.98,0.0103,"1,2,3,4,5,6,7"
AA,CLT -> DFW,1827,-10.0,635.0,19.15,0.0126,"1,2,3,4,5,6,7"
AA,CLT -> DSM,368,-12.0,593.0,27.96,0.0109,"1,2,3,4,5,6,7"
AA,CLT -> EWR,1049,-11.0,683.0,24.15,0.0276,"1,2,3,4,5,6,7"
AA,CLT -> FLL,1442,-13.0,647.0,18.02,0.0132,"1,2,3,4,5,6,7"
AA,CLT -> GRR,545,-10.0,601.0,16.8,0.0128,"1,2,3,4,5,6,7"
AA,CLT -> GSP,278,-11.0,914.0,32.17,0.0144,"1,2,4,5,6,7"
AA,CLT -> IAH,885,-12.0,761.0,22.05,0.0102,"1,2,3,4,5,6,7"
